"Reference","Value","Qty","DNP","Exclude from Board","Exclude from BOM","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","ORDER_CODE_DIGIKEY","ORDER_CODE_FARNELL","ORDER_CODE_RS"
"R1,R2,R5,R15,R37,R38,R502,R604,R605,R610,R611","0R","11","","","","","","279-CRG0805ZR","","","",""
"C1","4.7pF","1","","","","","","77-VJ0805A4R7DXQPBC","","","",""
"C606,C607,C608,C609","6.8pF","4","","","","","","581-08055A6R8D","","","",""
"C605","10p","1","","","","","","80-C0805C100JCRACTU","","","",""
"C203,C204,C205,C206,C709","15n","5","","","","","","80-C0805C153K1R","","","",""
"C201,C202,C207,C208,C708","33n","5","","","","","","710-885012207095","","","",""
"C9,C10,C13,C502,C604,C703,C704,C706,C710,C711,C713,C716,C717,C719,C721,C723,C724,C730,C731,C732,C734,C803,C808,C809,C810,C811","100n","26","","","","","","603-CC805KRX7R9BB104","","","",""
"C7,C702,C705,C707,C714,C722,L701,L801","1u","8","","","","","","80-C0805C105K3RACTM","","","",""
"C728,C729,L201","2.2u","3","","","","",""," 810-TMS322512ALM2R2M ,187-CL21B225KPFNNNE","","","",""
"C12","4,7uF","1","","","","","","187-CL21A226KQCLRNC","","","",""
"C727","4.7uF","1","","","","","","187-CL21A475KAQNNNE","","","",""
"C701","10u","1","","","","","","187-CL21A106KQFNNNG","","","",""
"C5,C6,C8,C501,C602,C712,C725,C726,C801,C802,C804,C805,C806,C807,C812,C813","22u","16","","","","","","187-CL21A226KQCLRNC","","","",""
"R34,R35,R36","22","3","","","","","","594-MCU08050C2209FP5","","","",""
"R802","120","1","","","","","","652-CR0805JW-121ELF","","","",""
"R6,R7,R10,R16,R18,R19,R201,R202,R212,R213,R603,R606,R608,R609,R701,R702","1k","16","","","","","","667-ERJ-6ENF1001V","","","",""
"R203,R204,R210,R211,R703","2k","5","","","","","","279-CRG0805F2K0","","","",""
"R809","4,7k","1","","","","","","279-CRG0805F4K7","","","",""
"R3,R209,R810,R811,R812","10k","5","","","","","","660-RK73B2ATTD103G","","","",""
