"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"C607,C608,C606,C609";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"6.8pF";;;
2;"C719,C703,C710,C721,C809,C731,C604,C704,C720,C732,C811,C10,C803,C713,C808,C9,C716,C502,C810,C717,C715,C723,C724,C718,C711,C706,C730";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";27;"100n";;;
3;"U3";"XCVR_ESP32-C6-WROOM-1-N8";1;"ESP32-C6-WROOM-1-N8";;;
4;"R36,R35,R34";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"22";;;
5;"D703,D702";"D_SOD-123F";2;"D_Schottky";;;
6;"R606,R201,R213,R212,R10,R6,R7,R701,R702,R609,R608,R603,R202";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";13;"1k";;;
7;"C12";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4,7uF";;;
8;"LED_2,LED_ESP1,LED_1,D2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"LED";;;
9;"C203,C709,C204,C205,C206";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"15n";;;
10;"IC202,IC1,IC203,IC201";"SOT65P210X110-5N";4;"ESDALC6V1W5";;;
11;"DEBUG_Trace1";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Pin";;;
12;"C705,C7,C702,C707,C714,C722";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"1u";;;
13;"U701";"TP4056-18650";1;"~";;;
14;"Q8,Q804,Q802,Q803,Q801,Q7,Q805,Q501";"SOT-23";8;"IRLML6402";;;
15;"ADC_In1,ESP_EN1,SD_EN1,LoRa_EN1";"PinHeader_1x02_P2.54mm_Vertical";4;"Conn_01x02_Pin";;;
16;"5V_Input1";"PJ102B";1;"PJ-102B";;;
17;"IC601,IC602";"SOT95P237X125-3N";2;"MMS9013-L-TP";;;
18;"C602,C725,C5,C804,C805,C712,C8,C813,C501,C802,C726,C806,C807,C812,C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";15;"22u";;;
19;"U702,U201";"SOIC127P600X175-14N";2;"TLV9304IDR";;;
20;"R807,R4,R801,R804,R806,R814,R602,R601,R501,R9,R805,R607,R8,R503";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";14;"100k";;;
21;"Battery1,Solar1";"JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical";2;"Conn_01x02_Pin";;;
22;"R37,R38";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"0R";;;
23;"C4,C11,C30,C29,C3,C603,C601";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";7;"TBD";;;
24;"C727";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4.7u";;;
25;"R205,R208,R206,R207";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"2k2";;;
26;"R612,R705,R704";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"330k";;;
27;"X602";"NX1610SE";1;"XTAL_2_PINS";;;
28;"USER_BUTTON1,Chip_EN1,Reset1";"SW_Push_SPST_NO_Alps_SKRK";3;"SW_Push";;;
29;"SW2,SW3";"SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin";2;"SW_DIP_x01";;;
30;"C728,C729";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"2.2u";;;
31;"Soil_Temp1,Soil_Moisture1,UV_Sensor1,Wind_Sensor1";"JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical";4;"Conn_01x03_Pin";;;
32;"JTAG_ESP1";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Pin";;;
33;"IC8";"QFN_90687_SEE-M";1;"317990687";;;
34;"R3,R811,R810,R812,R209";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"10k";;;
35;"JP_SMPS1,JP_USB1,JP_IO2,JP_VBAT1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";4;"SolderJumper_2_Bridged";;;
36;"R1,R611,R2,R610,R604,R5,R502,R605";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";8;"0k";;;
37;"U202";"LQFP-144_20x20mm_P0.5mm";1;"STM32U575ZIT6Q";;;
